Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive,Website Page,Industry Type
Your order is reserved for 07:28 minutes!,Conversion pirate. Resets on load.,Urgency,Countdown Timer,Checkout Process,Urgency,Other,Miscellaneous
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Periodic popup,Social Proof,Activity Notification,Product Page,Not Dark,Other,Miscellaneous
Only 4 left,Product detail,Scarcity,Low-stock Message,Product Page,Not Dark,Other,Miscellaneous
0011Days:0088Hours:4411Minutes:21125445Seconds,Product detail section. Hurrify.,Urgency,Countdown Timer,Product Page,Urgency,Other,Miscellaneous
,Sale. Resets after hitting zero,Urgency,Countdown Timer,Product Page,Urgency,Other,Miscellaneous
Hurry! Only 1 left!,Product detail,Scarcity,Low-stock Message,Product Page,Not Dark,E-commerce,E-commerce
"An item you ordered is in high demand. No worries, we have reserved your order.",Shown for all products,Scarcity,High-demand Message,Checkout Process,Not Dark,Other,Miscellaneous
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item,Popup message,Misdirection,Pressured Selling,Cart Page,Not Dark,Other,Miscellaneous
"Due To HIGH Demand, Cart Expires In: 08:41",Resets,Urgency,Countdown Timer,Cart Page,Urgency,Other,Miscellaneous
Your order is reserved for 09:35 minutes!,Resets on load.,Urgency,Countdown Timer,Checkout Process,Urgency,Other,Miscellaneous
,Shipping,Urgency,Countdown Timer,Product Page,Not Dark,Other,Miscellaneous
"ONLY 5 LEFT, ORDER SOON!",Product detail,Scarcity,Low-stock Message,Product Page,Not Dark,Other,Miscellaneous
Low in stock: only 2 left.,Product detail,Scarcity,Low-stock Message,Product Page,Not Dark,E-commerce,E-commerce
Your order is reserved for 09:45 minutes!,"Conversion pirate plugin, resets",Urgency,Countdown Timer,Checkout Process,Urgency,Other,Miscellaneous
"Hurry, only 3 left!",Product detail,Scarcity,Low-stock Message,Product Page,Not Dark,Other,Miscellaneous
Only 1 left,Product detail,Scarcity,Low-stock Message,Product Page,Not Dark,E-commerce,E-commerce
,Sale. Resets on each load.,Urgency,Countdown Timer,Product Page,Urgency,Other,Miscellaneous
Only 1 left in stock,Product detail,Scarcity,Low-stock Message,Product Page,Not Dark,Other,Miscellaneous
"Ends in 1 Days, 4 Minutes, 44 Seconds",Product detail,Urgency,Countdown Timer,Product Page,Not Dark,Other,Miscellaneous
,Sale. Resets after hitting zero,Urgency,Countdown Timer,Product Page,Urgency,Other,Miscellaneous
